Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-22,29.600000381469727,33.25,28.0,30.399999618530273,5884400,0,0
2021-07-23,30.950000762939453,37.369998931884766,29.440000534057617,33.9900016784668,1320600,0,0
2021-07-26,33.81999969482422,34.0,30.229999542236328,31.760000228881836,593400,0,0
2021-07-27,32.0,33.14899826049805,30.0,30.670000076293945,479000,0,0
2021-07-28,30.700000762939453,31.829999923706055,30.059999465942383,30.290000915527344,260900,0,0
2021-07-29,30.290000915527344,30.89900016784668,28.110000610351562,29.31999969482422,467400,0,0
2021-07-30,28.770000457763672,30.489999771118164,28.770000457763672,30.15999984741211,198300,0,0
2021-08-03,30.65999984741211,31.0,29.209999084472656,30.280000686645508,175400,0,0
2021-08-04,30.31999969482422,31.170000076293945,29.649999618530273,30.84000015258789,8620000,0,0
2021-08-05,31.280000686645508,32.81999969482422,30.1200008392334,31.889999389648438,19800000,0,0
2021-08-06,32.34000015258789,34.9900016784668,30.8799991607666,31.65999984741211,29620000,0,0
2021-08-09,31.25,31.920000076293945,30.739999771118164,31.299999237060547,9850000,0,0
2021-08-10,31.610000610351562,31.610000610351562,30.020000457763672,30.049999237060547,21060000,0,0
2021-08-11,30.010000228881836,30.8799991607666,30.003000259399414,30.549999237060547,12800000,0,0
2021-08-12,30.75,31.6299991607666,30.549999237060547,31.299999237060547,16740000,0,0
2021-08-13,31.489999771118164,36.0,31.309999465942383,34.619998931884766,32690000,0,0
2021-08-16,34.4900016784668,37.779998779296875,34.0260009765625,35.56999969482422,36330000,0,0
2021-08-17,36.02000045776367,36.11000061035156,32.90999984741211,34.709999084472656,27290000,0,0
2021-08-18,35.13999938964844,38.93000030517578,34.83000183105469,36.709999084472656,49860000,0,0
