Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-05-03,106.25,118.75,106.25,118.75,0,0,0.0
2000-05-04,106.25,112.5,87.5,92.1875,700,0,0.0
2000-05-05,90.625,115.625,90.625,115.625,800,0,0.0
2000-05-08,117.1875,125.0,112.5,114.0625,200,0,0.0
2000-05-09,121.875,123.4375,104.6875,104.6875,100,0,0.0
2000-05-10,100.0,104.6875,96.875,96.875,100,0,0.0
2000-05-11,103.125,112.5,103.125,110.9375,200,0,0.0
2000-05-12,112.5,112.5,101.5625,110.9375,100,0,0.0
2000-05-15,101.5625,106.25,78.125,84.375,400,0,0.0
2000-05-16,78.125,84.375,71.875,73.4375,300,0,0.0
2000-05-17,71.875,87.5,68.75,87.5,300,0,0.0
2000-05-18,87.5,87.5,78.125,78.125,0,0,0.0
2000-05-19,78.125,87.5,76.5625,82.8125,0,0,0.0
2000-05-22,75.0,100.0,75.0,87.5,100,0,0.0
2000-05-23,106.25,106.25,106.25,106.25,0,0,0.0
2000-05-24,75.0,87.5,65.625,65.625,300,0,0.0
2000-05-25,65.625,65.625,62.5,62.5,100,0,0.0
2000-05-26,62.5,70.3125,62.5,70.3125,0,0,0.0
2000-05-30,62.5,68.75,37.5,37.5,200,0,0.0
2000-05-31,62.5,62.5,43.75,51.5625,200,0,0.0
2000-06-01,43.75,43.75,43.75,43.75,0,0,0.0
2000-06-02,43.75,62.5,43.75,62.5,200,0,0.0
2000-06-05,50.0,50.0,50.0,50.0,100,0,0.0
2000-06-06,50.0,50.0,50.0,50.0,0,0,0.0
2000-06-07,50.0,50.0,40.625,40.625,500,0,0.0
2000-06-08,40.625,43.75,37.5,40.625,500,0,0.0
2000-06-09,46.875,46.875,46.875,46.875,0,0,0.0
2000-06-12,46.875,50.0,43.75,43.75,200,0,0.0
2000-06-13,40.625,43.75,40.625,43.75,500,0,0.0
2000-06-14,43.75,43.75,40.625,40.625,100,0,0.0
2000-06-15,40.625,40.625,37.5,37.5,100,0,0.0
2000-06-16,37.5,37.5,37.5,37.5,0,0,0.0
2000-06-19,37.5,37.5,37.5,37.5,300,0,0.0
2000-06-20,37.5,40.625,31.25,31.25,400,0,0.0
2000-06-21,37.5,40.625,37.5,40.625,0,0,0.0
2000-06-22,31.25,31.25,31.25,31.25,0,0,0.0
2000-06-26,40.625,43.75,37.5,40.625,300,0,0.0
2000-06-27,40.625,40.625,40.625,40.625,100,0,0.0
2000-06-28,43.75,43.75,31.25,37.5,800,0,0.0
2000-06-29,31.25,37.5,31.25,37.5,1400,0,0.0
2000-07-03,31.25,31.25,31.25,31.25,100,0,0.0
2000-07-05,31.25,37.5,31.25,37.5,100,0,0.0
2000-07-06,37.5,37.5,37.5,37.5,200,0,0.0
2000-07-07,34.375,34.375,34.375,34.375,0,0,0.0
2000-07-10,34.375,34.375,31.25,34.375,100,0,0.0
2000-07-14,31.25,43.75,31.25,43.75,200,0,0.0
2000-07-17,40.625,40.625,34.375,34.375,0,0,0.0
2000-07-25,37.5,40.625,37.5,40.625,100,0,0.0
2000-07-26,40.625,40.625,40.625,40.625,0,0,0.0
2000-07-27,37.5,37.5,31.25,31.25,100,0,0.0
2000-08-04,31.25,31.25,31.25,31.25,200,0,0.0
2000-08-10,31.25,37.5,31.25,37.5,0,0,0.0
2000-08-18,31.25,34.375,31.25,34.375,100,0,0.0
2000-08-21,31.25,31.25,28.125,28.125,200,0,0.0
2000-08-22,28.125,28.125,28.125,28.125,0,0,0.0
2000-08-23,28.125,28.125,28.125,28.125,100,0,0.0
2000-09-05,31.25,31.25,28.125,31.25,100,0,0.0
2000-09-19,28.125,29.6875,28.125,29.6875,100,0,0.0
2000-09-20,29.6875,29.6875,29.6875,29.6875,0,0,0.0
2000-09-25,26.5625,26.5625,26.5625,26.5625,0,0,0.0
2000-09-28,25.0,26.5625,20.3125,26.5625,1600,0,0.0
2000-09-29,28.125,31.25,26.5625,29.6875,700,0,0.0
2000-10-02,31.25,31.25,29.6875,31.25,300,0,0.0
2000-10-03,31.25,31.25,31.25,31.25,600,0,0.0
2000-10-10,25.0,25.0,20.3125,20.3125,100,0,0.0
2000-10-11,20.3125,20.3125,20.3125,20.3125,0,0,0.0
2000-10-12,23.4375,23.4375,21.875,21.875,200,0,0.0
2000-10-13,23.4375,29.6875,23.4375,29.6875,300,0,0.0
2000-10-18,28.125,28.125,26.5625,26.5625,300,0,0.0
