Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-11-02,960.0,960.0,960.0,960.0,0,0,0.0
2006-12-06,1530.0,1530.0,1530.0,1530.0,0,0,0.0
2007-01-04,6000.0,6000.0,6000.0,6000.0,0,0,0.0
2007-01-05,6750.0,7500.0,6750.0,7500.0,0,0,0.0
2007-01-08,7500.0,7500.0,7500.0,7500.0,0,0,0.0
2007-01-10,5250.0,5310.0,4500.0,4500.0,0,0,0.0
2007-01-11,4500.0,4500.0,4500.0,4500.0,0,0,0.0
2007-01-17,4800.0,4800.0,4500.0,4500.0,0,0,0.0
2007-01-18,810.0,810.0,810.0,810.0,0,0,0.0
2007-01-23,930.0,1530.0,720.0,720.0,0,0,0.0
2007-01-24,750.0,840.0,480.0,480.0,0,0,0.0
2007-01-25,900.0,900.0,600.0,600.0,0,0,0.0
2007-01-26,600.0,600.0,600.0,600.0,0,0,0.0
2007-01-29,870.0,870.0,870.0,870.0,0,0,0.0
2007-01-30,900.0,900.0,870.0,870.0,0,0,0.0
2007-01-31,870.0,870.0,540.0,540.0,0,0,0.0
2007-02-01,540.0,750.0,450.0,450.0,0,0,0.0
2007-02-02,450.0,450.0,450.0,450.0,0,0,0.0
2007-02-05,360.0,360.0,360.0,360.0,0,0,0.0
2007-02-12,360.0,360.0,300.0,300.0,0,0,0.0
2007-02-13,300.0,300.0,300.0,300.0,0,0,0.0
2007-02-15,750.0,750.0,750.0,750.0,0,0,0.0
2007-02-20,750.0,750.0,600.0,600.0,0,0,0.0
2007-02-22,750.0,900.0,750.0,900.0,0,0,0.0
2007-02-23,900.0,900.0,900.0,900.0,0,0,0.0
2007-02-27,780.0,780.0,780.0,780.0,0,0,0.0
2007-03-13,540.0,540.0,540.0,540.0,0,0,0.0
2007-03-22,300.0,300.0,240.0,240.0,0,0,0.0
2007-03-23,240.0,240.0,240.0,240.0,0,0,0.0
2007-04-12,210.0,240.0,210.0,240.0,0,0,0.0
2007-04-13,180.0,180.0,150.0,150.0,0,0,0.0
2007-04-16,150.0,150.0,150.0,150.0,0,0,0.0
2007-04-26,360.0,450.0,300.0,300.0,0,0,0.0
2007-05-14,270.0,270.0,270.0,270.0,0,0,0.0
2007-05-15,330.0,330.0,300.0,300.0,0,0,0.0
2007-05-17,330.0,330.0,330.0,330.0,0,0,0.0
2007-05-18,300.0,300.0,300.0,300.0,0,0,0.06666666666666667
2007-05-22,250.0,250.0,202.0,250.0,0,0,0.0
2007-05-23,260.0,328.0,260.0,328.0,0,0,0.0
2007-05-24,330.0,330.0,200.0,300.0,100,0,0.0
2007-05-29,340.0,350.0,300.0,350.0,0,0,0.0
2007-05-30,360.0,420.0,360.0,420.0,0,0,0.0
2007-05-31,440.0,570.0,430.0,550.0,100,0,0.0
2007-06-01,440.0,570.0,440.0,570.0,0,0,0.0
2007-06-04,570.0,590.0,550.0,590.0,0,0,0.0
2007-06-05,550.0,700.0,550.0,610.0,0,0,0.0
2007-06-06,600.0,650.0,600.0,650.0,100,0,0.0
2007-06-07,620.0,628.0,600.0,600.0,0,0,0.0
2007-06-08,630.0,700.0,620.0,650.0,100,0,0.0
2007-06-11,622.0,750.0,620.0,656.0,0,0,0.0
2007-06-12,650.0,650.0,520.0,600.0,0,0,0.0
2007-06-13,600.0,700.0,600.0,630.0,0,0,0.0
2007-06-14,520.0,650.0,520.0,650.0,0,0,0.0
2007-06-15,650.0,650.0,650.0,650.0,0,0,0.0
2007-06-19,520.0,650.0,520.0,600.0,0,0,0.0
2007-06-20,600.0,650.0,600.0,600.0,0,0,0.0
2007-06-21,410.0,600.0,370.0,370.0,0,0,0.0
2007-06-22,370.0,370.0,370.0,370.0,0,0,0.0
2007-06-25,310.0,500.0,310.0,500.0,0,0,0.0
2007-06-26,500.0,500.0,500.0,500.0,0,0,0.0
2007-06-27,380.0,570.0,380.0,570.0,0,0,0.0
2007-06-28,570.0,570.0,570.0,570.0,0,0,0.0
2007-07-05,360.0,420.0,262.0,262.0,0,0,0.0
2007-07-09,320.0,320.0,300.0,320.0,0,0,0.0
2007-07-10,420.0,450.0,340.0,340.0,0,0,0.0
2007-07-11,300.0,390.0,300.0,310.0,0,0,0.0
2007-07-12,380.0,590.0,380.0,590.0,0,0,0.0
2007-07-13,590.0,600.0,538.0,540.0,100,0,0.0
2007-07-16,540.0,550.0,500.0,550.0,0,0,0.0
2007-07-17,500.0,590.0,500.0,590.0,0,0,0.0
2007-07-18,560.0,560.0,530.0,540.0,0,0,0.0
2007-07-19,500.0,500.0,480.0,480.0,0,0,0.0
2007-07-20,460.0,460.0,460.0,460.0,0,0,0.0
2007-07-23,550.0,600.0,460.0,500.0,100,0,0.0
2007-07-24,590.0,600.0,480.0,520.0,200,0,0.0
2007-07-25,580.0,580.0,460.0,460.0,100,0,0.0
2007-07-26,480.0,480.0,350.0,480.0,0,0,0.0
2007-07-30,480.0,480.0,420.0,420.0,0,0,0.0
2007-07-31,420.0,420.0,320.0,420.0,0,0,0.0
2007-08-01,400.0,400.0,360.0,400.0,0,0,0.0
2007-08-02,400.0,400.0,400.0,400.0,0,0,0.0
2007-08-03,320.0,490.0,320.0,420.0,0,0,0.0
2007-08-06,370.0,400.0,320.0,400.0,0,0,0.0
2007-08-07,320.0,390.0,320.0,390.0,0,0,0.0
2007-08-08,322.0,390.0,322.0,390.0,0,0,0.0
2007-08-09,310.0,390.0,300.0,390.0,0,0,0.0
2007-08-10,390.0,390.0,390.0,390.0,0,0,0.0
2007-08-15,300.0,300.0,280.0,280.0,0,0,0.0
2007-08-16,280.0,308.0,270.0,308.0,0,0,0.0
2007-08-17,308.0,308.0,290.0,290.0,0,0,0.0
2007-08-20,300.0,300.0,270.0,270.0,0,0,0.0
2007-08-21,270.0,270.0,220.0,240.0,0,0,0.0
2007-08-28,260.0,340.0,240.0,260.0,0,0,0.0
2007-08-29,220.0,220.0,220.0,220.0,0,0,0.0
2007-09-04,220.0,220.0,190.0,190.0,0,0,0.0
2007-09-05,172.0,172.0,130.0,130.0,0,0,0.0
2007-09-06,130.0,300.0,130.0,210.0,100,0,0.0
2007-09-07,230.0,230.0,210.0,210.0,0,0,0.0
2007-09-10,230.0,250.0,230.0,250.0,0,0,0.0
2007-09-11,250.0,250.0,210.0,210.0,0,0,0.0
2007-09-12,210.0,210.0,210.0,210.0,0,0,0.0
2007-09-13,200.0,200.0,200.0,200.0,0,0,0.0
2007-09-17,140.0,200.0,140.0,200.0,0,0,0.0
2007-09-21,220.0,240.0,140.0,220.0,0,0,0.0
2007-09-24,210.0,220.0,140.0,140.0,0,0,0.0
2007-09-25,140.0,140.0,140.0,140.0,0,0,0.0
2007-10-02,200.0,202.0,200.0,202.0,0,0,0.0
2007-10-03,202.0,202.0,202.0,202.0,0,0,0.0
2007-10-04,202.0,300.0,202.0,250.0,0,0,0.0
2007-10-05,250.0,360.0,240.0,360.0,0,0,0.0
2007-10-16,220.0,220.0,120.0,200.0,0,0,0.0
2007-10-17,220.0,230.0,220.0,230.0,0,0,0.0
2007-10-18,230.0,260.0,230.0,260.0,0,0,0.0
2007-10-19,260.0,280.0,260.0,260.0,100,0,0.0
2007-10-22,260.0,280.0,260.0,280.0,0,0,0.0
2007-10-23,280.0,280.0,280.0,280.0,0,0,0.0
2007-10-24,290.0,320.0,290.0,290.0,0,0,0.0
2007-10-25,360.0,390.0,302.0,302.0,0,0,0.0
2007-10-26,360.0,360.0,302.0,302.0,0,0,0.0
2007-10-29,302.0,340.0,302.0,340.0,0,0,0.0
2007-10-30,310.0,362.0,290.0,362.0,0,0,0.0
2007-10-31,360.0,400.0,360.0,400.0,0,0,0.0
2007-11-01,400.0,424.0,400.0,400.0,100,0,0.0
2007-11-02,400.0,400.0,350.0,350.0,0,0,0.0
2007-11-05,350.0,350.0,350.0,350.0,0,0,0.0
2007-11-06,350.0,400.0,350.0,400.0,0,0,0.0
2007-11-07,420.0,420.0,420.0,420.0,0,0,0.0
2007-11-08,380.0,410.0,380.0,400.0,0,0,0.0
2007-11-09,400.0,420.0,350.0,370.0,100,0,0.0
2007-11-12,350.0,350.0,320.0,320.0,0,0,0.0
2007-11-13,380.0,380.0,260.0,270.0,100,0,0.0
2007-11-14,380.0,380.0,378.0,378.0,0,0,0.0
2007-11-20,370.0,370.0,270.0,300.0,0,0,0.0
2007-11-21,270.0,300.0,270.0,300.0,0,0,0.0
2007-11-26,300.0,360.0,270.0,280.0,0,0,0.0
2007-11-27,370.0,370.0,270.0,360.0,0,0,0.0
2007-11-28,280.0,280.0,270.0,270.0,0,0,0.0
2007-11-30,300.0,300.0,270.0,300.0,0,0,0.0
2007-12-05,262.0,300.0,232.0,300.0,0,0,0.0
2007-12-07,222.0,280.0,220.0,280.0,0,0,0.0
2007-12-11,270.0,360.0,270.0,360.0,0,0,0.0
2007-12-12,350.0,370.0,280.0,370.0,0,0,0.0
2007-12-13,400.0,400.0,300.0,330.0,0,0,0.0
2007-12-14,330.0,340.0,300.0,340.0,0,0,0.0
2007-12-17,338.0,340.0,300.0,340.0,0,0,0.0
2007-12-18,300.0,330.0,300.0,300.0,0,0,0.0
2007-12-19,240.0,330.0,240.0,330.0,0,0,0.0
2007-12-20,330.0,330.0,270.0,320.0,0,0,0.0
2007-12-21,320.0,340.0,280.0,280.0,0,0,0.0
2007-12-24,338.0,340.0,282.0,340.0,0,0,0.0
2007-12-26,282.0,282.0,282.0,282.0,0,0,0.0
2007-12-27,338.0,338.0,282.0,330.0,0,0,0.0
