Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-09-02,16.510538265313578,16.599440776079387,16.46608700993067,16.58039093017578,108600,0.0,0
2010-09-03,16.891549598188057,16.961401046340843,16.73914478693774,16.78359603881836,157600,0.0,0
2010-09-07,17.285262803229106,17.285262803229106,17.0820563755465,17.094757080078125,135800,0.0,0
2010-09-08,17.139208792199447,17.27256377092922,17.132858439764135,17.20271110534668,223700,0.0,0
2010-09-09,17.38051537857835,17.38051537857835,17.158257913247077,17.22810935974121,123000,0.0,0
2010-09-10,17.29796413310182,17.29796413310182,17.209061620578215,17.272563934326172,119900,0.0,0
2010-09-13,17.53292195598991,17.551971801863143,17.399566978847943,17.53927230834961,129400,0.0,0
2010-09-14,17.46306892804404,17.767878567735043,17.43131837811175,17.67897605895996,73300,0.0,0
2010-09-15,17.501167329695683,17.507517681015994,17.386863428341456,17.475767135620117,118600,0.0,0
2010-09-16,17.32336442092935,17.32336442092935,17.196359801660403,17.266212463378906,124000,0.0,0
2010-09-17,17.32971457472736,17.37416582760114,17.304313166681887,17.348764419555664,110100,0.0,0
2010-09-20,17.571021085740913,17.672624290830967,17.475768232369706,17.634523391723633,118600,0.0,0
2010-09-21,17.63452208438768,17.837728479503074,17.564669431864644,17.710723876953125,156800,0.0,0
2010-09-22,17.698024561299853,17.92663115247056,17.6789735073666,17.780576705932617,62500,0.0,0
2010-09-23,17.475772068151954,17.64087761546398,17.463071361926563,17.48212242126465,67600,0.0,0
2010-09-24,17.653573862836346,17.698026326447494,17.634524018208786,17.685325622558594,113100,0.0,0
2010-09-27,17.89488348695687,17.89488348695687,17.653574943124376,17.717077255249023,8800,0.0,0
2010-09-28,17.653571168326284,17.850428414940023,17.590070080985697,17.844078063964844,9500,0.0,0
2010-09-29,17.653575108422917,17.704376716357146,17.62182455766623,17.65992546081543,7800,0.0,0
2010-09-30,17.590074923515285,17.590074923515285,17.24081279096255,17.323366165161133,26000,0.0,0
2010-10-01,17.75517873879803,19.520536775336147,17.736128892381632,17.920284271240234,33900,0.0,0
2010-10-04,17.888532671826304,17.913932869295515,17.678975895080544,17.736127853393555,20200,0.0,0
2010-10-05,18.123493616249228,18.16159452385619,17.92663630266689,18.12984275817871,20600,0.0,0
2010-10-06,18.28224646159946,18.28224646159946,17.50117008319237,18.123491287231445,29900,0.0,0
2010-10-07,18.244144013571503,18.244144013571503,17.888532768637223,17.98378562927246,20200,0.0,0
2010-10-08,18.02188826217974,18.180643448887903,18.00283841494657,18.167943954467773,23400,0.0,0
2010-10-11,18.22509161503632,18.22509161503632,18.05363576318844,18.059986114501953,16800,0.0,0
2010-10-12,18.053637968758494,18.225093841552734,18.047287616669173,18.225093841552734,15700,0.0,0
2010-10-13,18.320348532794757,18.491804422737196,18.28859676917249,18.40290069580078,13200,0.0,0
2010-10-14,18.447347038390774,18.453697389423183,18.307642949294603,18.371145248413086,69300,0.0,0
2010-10-15,18.383849602747222,18.383849602747222,18.212393724426335,18.30129623413086,19500,0.0,0
2010-10-18,18.364800564432795,18.561656662361344,18.364800564432795,18.523555755615234,11900,0.0,0
2010-10-19,18.021883046447446,18.040934099372983,17.844078063964844,17.844078063964844,15000,0.0,0
2010-10-20,17.87583219368918,18.26954555469353,17.87583219368918,18.206043243408203,22600,0.0,0
2010-10-21,18.148888610479815,18.313994111014186,17.964733267210573,18.059986114501953,21100,0.0,0
2010-10-22,18.3203460353661,18.3203460353661,18.161590872514065,18.199691772460938,2600,0.0,0
2010-10-25,18.43465419549908,18.612459243704752,18.43465419549908,18.460054397583008,29400,0.0,0
2010-10-26,18.1615890009604,18.199689896980974,18.09808670012235,18.17428970336914,22900,0.0,0
2010-10-27,18.053639745273365,18.053639745273365,17.88218385560752,18.002838134765625,10700,0.0,0
2010-10-28,18.352096592115334,18.38384835142419,18.30129498842694,18.326696395874023,36100,0.0,0
2010-10-29,18.64420808300156,18.707709183844145,18.606105969048976,18.67595863342285,16600,0.0,0
2010-11-01,18.83471688017127,18.83471688017127,18.555307388305664,18.555307388305664,6000,0.0,0
2010-11-02,19.00616911842261,19.06967142857099,18.99346841415177,19.025218963623047,10300,0.0,0
2010-11-03,19.114123179263277,19.24112659165619,18.999819260265557,19.234777450561523,30000,0.0,0
2010-11-04,19.812645085543657,19.812645085543657,19.73009172143066,19.780893325805664,20900,0.0,0
2010-11-05,19.609440047583714,19.666592011457077,19.44433571995616,19.653892517089844,19300,0.0,0
