Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-08,7.3188300132751465,8.400030136108398,6.990029811859131,7.560029983520508,61187,0,0.0
2021-01-11,7.560029983520508,9.360039710998535,7.560029983520508,9.360039710998535,68893,0,0.0
2021-01-12,10.557600021362305,10.557600021362305,9.120039939880371,9.84004020690918,51880,0,0.0
2021-01-13,9.84004020690918,10.199999809265137,8.460029602050781,9.59883975982666,41596,0,0.0
2021-01-14,10.187999725341797,10.199999809265137,8.52003002166748,9.000040054321289,39922,0,0.0
2021-01-15,9.540040016174316,9.540040016174316,8.160030364990234,8.400030136108398,33053,0,0.0
2021-01-19,8.640029907226562,9.348039627075195,7.671629905700684,8.280030250549316,39915,0,0.0
2021-01-20,8.760029792785645,9.360039710998535,8.280030250549316,9.240039825439453,47690,0,0.0
2021-01-21,9.71403980255127,9.71403980255127,8.640029907226562,8.760029792785645,30378,0,0.0
2021-01-22,9.000040054321289,10.079999923706055,8.640029907226562,10.079999923706055,69970,0,0.0
2021-01-25,10.079999923706055,14.160099983215332,9.960040092468262,12.479999542236328,111992,0,0.0
2021-01-26,12.600000381469727,15.720100402832031,12.479999542236328,15.720100402832031,86574,0,0.0
2021-01-27,16.800100326538086,16.800100326538086,13.800100326538086,14.400099754333496,55481,0,0.0
2021-01-28,14.04010009765625,14.460100173950195,11.880000114440918,13.20009994506836,43268,0,0.0
2021-01-29,13.320099830627441,15.240099906921387,12.720000267028809,14.280099868774414,34548,0,0.0
2021-02-01,1.2200000286102295,1.2999999523162842,1.2000000476837158,1.2000000476837158,684500,0,0.0
2021-02-02,1.1799999475479126,1.25,1.1699999570846558,1.2300000190734863,260100,0,0.0
2021-02-03,1.190000057220459,1.4199999570846558,1.190000057220459,1.3600000143051147,677800,0,0.0
2021-02-04,1.350000023841858,1.4800000190734863,1.350000023841858,1.440000057220459,428800,0,0.0
2021-02-05,17.280099868774414,22.440099716186523,17.04010009765625,21.600099563598633,71346,0,0.0
2021-02-08,22.440099716186523,33.000099182128906,21.840099334716797,30.36009979248047,133020,0,0.0
2021-02-09,31.680099487304688,43.800201416015625,31.440099716186523,39.00019836425781,94668,0,0.0
2021-02-10,39.00019836425781,40.3202018737793,25.320100784301758,36.000099182128906,89994,0,0.0
2021-02-11,36.12009811401367,38.640201568603516,30.000099182128906,31.20009994506836,38629,0,0.0
2021-02-12,32.760101318359375,34.20009994506836,28.800100326538086,33.36009979248047,45853,0,0.0
2021-02-16,32.640098571777344,38.40019989013672,32.28010177612305,35.40010070800781,58137,0,0.0
2021-02-17,36.480098724365234,37.20009994506836,34.80009841918945,35.760101318359375,14714,0,0.0
2021-02-18,36.600101470947266,36.600101470947266,30.240100860595703,33.8400993347168,24066,0,0.0
2021-02-19,33.36009979248047,36.96009826660156,33.000099182128906,34.20009994506836,22868,0,0.0
2021-02-22,36.000099182128906,37.080101013183594,33.600101470947266,34.440101623535156,19237,0,0.0
2021-02-23,33.12009811401367,35.52009963989258,27.000099182128906,31.20009994506836,31825,0,0.0
2021-02-24,33.2401008605957,34.920101165771484,31.440099716186523,32.40010070800781,15883,0,0.0
2021-02-25,32.40010070800781,33.480098724365234,30.600099563598633,31.20009994506836,19562,0,0.0
2021-02-26,31.20009994506836,33.600101470947266,30.000099182128906,32.40010070800781,15130,0,0.0
2021-03-01,35.40010070800781,35.40010070800781,32.52009963989258,34.20009994506836,20073,0,0.0
2021-03-02,34.500099182128906,35.40010070800781,32.36410140991211,34.56010055541992,29026,0,0.0
2021-03-03,34.56010055541992,35.28010177612305,31.320100784301758,31.92009925842285,7837,0,0.0
2021-03-04,32.160099029541016,32.88010025024414,26.760099411010742,30.600099563598633,31124,0,0.0
2021-03-05,30.390100479125977,31.20009994506836,24.36009979248047,28.560100555419922,33334,0,0.0
2021-03-08,28.560100555419922,28.560100555419922,24.480100631713867,26.400100708007812,10642,0,0.0
2021-03-09,25.680099487304688,26.520099639892578,24.36009979248047,25.20009994506836,30546,0,0.0
2021-03-10,26.100099563598633,29.400100708007812,25.320100784301758,27.240100860595703,12637,0,0.0
2021-03-11,28.680099487304688,30.000099182128906,27.240100860595703,27.36009979248047,8376,0,0.0
2021-03-12,27.72010040283203,27.72010040283203,25.20009994506836,27.10810089111328,8451,0,0.0
2021-03-15,27.000099182128906,29.400100708007812,26.640100479125977,28.680099487304688,12659,0,0.0
2021-03-16,29.280099868774414,30.240100860595703,26.16010093688965,27.36009979248047,20157,0,0.0
2021-03-17,27.480100631713867,27.600099563598633,25.560100555419922,25.980100631713867,5509,0,0.0
2021-03-18,25.800100326538086,28.800100326538086,25.800100326538086,26.88010025024414,8056,0,0.0
2021-03-19,27.180099487304688,27.36009979248047,26.100099563598633,26.100099563598633,9253,0,0.0
2021-03-22,26.04010009765625,26.640100479125977,23.280099868774414,24.36009979248047,13381,0,0.0
2021-03-23,25.08009910583496,25.08009910583496,15.600099563598633,19.20009994506836,70086,0,0.0
2021-03-24,19.20009994506836,20.400100708007812,15.600099563598633,16.320100784301758,34158,0,0.0
2021-03-25,16.440099716186523,19.680099487304688,16.20009994506836,16.800100326538086,28682,0,0.0
2021-03-26,16.800100326538086,18.72010040283203,16.560100555419922,16.740100860595703,13809,0,0.0
